pos.result.20,pos.result.138,pos.result.189,pos.result.337,pos.result.399,pos.result.521,pos.result.641,pos.result.699,pos.result.755,pos.result.768,pos.result.844,pos.result.908,pos.result.923,pos.result.969,pos.result.1166,pos.result.1255,pos.result.1293,pos.result.1343,pos.result.1350,pos.result.1375,pos.result.1547,pos.result.1572,pos.result.1664,pos.result.1704,pos.result.1749,pos.result.1998,pos.result.2294,pos.result.2303,pos.result.2310,pos.result.2392,pos.result.2532,pos.result.2625,pos.result.2642,pos.result.2971,pos.result.3039,pos.result.3130,pos.result.3366,pos.result.3372,pos.result.3418,pos.result.3572,pos.result.3603,pos.result.3732,pos.result.3776,neg.result.5,neg.result.28,neg.result.87,neg.result.184,neg.result.202,neg.result.225,neg.result.277,neg.result.332,neg.result.355,neg.result.377,neg.result.390,neg.result.412,neg.result.512,neg.result.604,neg.result.609,neg.result.631,neg.result.682,neg.result.718,neg.result.795,neg.result.814,neg.result.847,neg.result.871,neg.result.963,neg.result.1096,neg.result.1148,neg.result.1151,neg.result.1242,neg.result.1311,neg.result.1558,neg.result.1645,neg.result.1782,neg.result.1784,neg.result.1792,neg.result.1860,neg.result.1866,neg.result.2075,neg.result.2255,neg.result.2310,neg.result.2352,neg.result.2701,batch,icu
16.85695602,12.75530233,14.09427079,8.732352393,13.18727358,10.97589402,11.15899171,12.90041139,12.80916048,12.80093245,-1.450207435,10.44146762,-1.578684297,12.23763526,2.62844621,12.18696968,12.21641988,12.09084404,14.1452496,9.866860096,11.69221255,16.67819197,3.4035106,11.33702041,10.66963691,10.68266555,-0.538195533,1.814632203,9.367670292,11.26762944,11.94452351,10.77482441,-0.184751126,0.871238922,2.23239938,12.60202088,10.57973303,9.496313658,10.13385876,10.21734564,9.730477264,11.64110385,10.83170675,9.604966374,12.11154446,4.84624414,10.27564408,9.572119131,9.729518691,11.42758778,11.31363433,5.746507507,3.1456724,11.99363763,7.579291615,10.85446714,8.767325182,11.28729255,10.17414697,9.933698659,10.54665963,2.767421274,9.917223979,14.44216354,7.27213325,11.52933224,8.915547422,9.217461005,2.870514573,9.102280354,9.350193348,8.073867308,12.41067745,7.065718255,8.893731033,9.320785601,8.047348654,10.92080324,9.214894754,7.530643411,-0.304852842,14.94623454,9.170983319,2,1
15.2985154,12.15921648,15.14754668,3.780259757,13.43844371,10.33897777,8.382171476,13.23888077,13.14298127,12.41784532,10.79837275,-1.939505391,8.625944716,12.50151907,13.33014829,12.92637719,10.22052393,12.17464679,11.5732918,-0.59736464,11.42827441,12.14716963,14.56492692,11.13850518,0.071636791,-5.141516388,9.875361396,0.761364531,12.21855554,6.486764817,9.879109766,11.00699612,-0.527220001,0.279738476,11.28004006,10.90668397,13.62645156,11.26398372,9.744400742,4.618948268,10.48096651,10.16104749,11.11092222,9.996947401,9.821674063,4.696708473,11.15754866,9.229900953,3.379650367,11.71587242,9.613218368,4.260365934,2.813977371,8.603753875,8.131811963,10.84169222,8.924365056,9.526245668,10.80770914,10.58548323,10.47428992,4.197151303,8.852165666,14.39373274,4.451292146,11.72248188,4.917442132,3.061789246,3.86622728,3.71092472,10.8835825,10.63070678,11.41781678,12.16336722,2.822872397,7.611296087,7.646565123,10.96674589,11.34066198,11.88767546,-0.729623027,10.99283622,9.816097157,2,0
16.8240779,12.45002157,15.07018925,5.201128842,11.65497124,10.15053,11.11661627,13.17000426,13.12048582,12.39719825,10.67469216,8.03000558,3.955691775,12.77118595,13.47769019,13.84910461,7.646565123,14.11555786,11.73801182,11.47569259,9.43185813,14.897118,3.086609844,11.50099899,11.02185504,3.63527146,10.524754,11.49632623,9.681136069,9.356055471,10.47211694,9.779503625,11.54585535,0.339360991,11.99078302,11.15321023,9.630572849,-0.15313672,9.699365052,8.219305489,10.65812937,9.948367536,9.094416674,9.660450204,10.15783876,5.317613099,10.33119714,10.3744872,3.873627345,11.626722,6.568129581,3.890294208,3.339267699,9.172287704,7.006137225,11.18160346,11.23809457,10.96102925,11.90720604,9.455553461,10.30232809,6.657345284,8.859753,14.38336503,3.228713411,12.56239297,4.585067782,3.577010092,3.053201449,5.351259456,8.227606815,10.61684476,11.58740824,13.34428695,9.128440441,6.734094023,6.855499947,10.60079526,10.17741996,8.023269171,-0.743838904,9.694072121,9.773685538,2,1
14.23075384,12.31567736,14.76634711,11.15461623,11.35787393,1.070243051,10.12557789,13.48563962,12.58821192,13.44105798,10.77263146,9.638670852,4.085327439,12.45858385,13.30235293,11.62987064,11.75364853,13.580352,11.47194654,11.62175382,10.55405232,11.12593631,4.451292146,11.24315246,0.279738476,10.82110453,10.97374058,10.89129151,2.589222299,5.220782447,14.74479797,11.15969657,-0.141526527,0.68057603,12.00382946,12.95344905,12.54239196,10.97023997,12.55704704,5.119335515,10.99774592,-2.109553287,9.031611586,9.918165295,1.882995603,6.499519864,10.32342811,9.834794187,4.68381593,10.67102428,7.141379479,6.44907804,-2.55822667,7.535919126,10.05646096,11.15176248,10.56864389,4.63168698,11.67506424,10.12720281,10.09332973,6.495115444,10.28342974,13.4357571,4.543002521,12.10264965,5.930721341,3.436434847,4.598740875,6.599077419,7.048085943,9.16591069,12.30232644,9.13503018,7.438493723,8.892347802,8.235862676,11.03104004,10.3929087,11.41255968,9.356055471,10.66322882,9.610059787,2,1
16.51005125,12.41067745,14.53513664,9.772763665,13.48033218,0.302668368,8.403670135,13.29558945,12.05478124,13.15344228,10.21734564,-1.715541334,7.748594931,10.64798629,12.33380449,14.36215456,10.93054976,11.63865432,11.30930386,-0.64738679,13.16589525,13.49117565,4.487347913,0.203857954,10.42163323,11.49856129,11.55762817,11.64601573,9.464535195,8.301379721,12.06364259,-2.247229709,-0.635199962,10.95741424,0.824033388,0.585436277,10.92148327,-0.338354476,9.84330173,5.390241128,10.24317722,10.35832042,8.940164259,10.21652855,10.5025095,-3.481292825,11.11873434,10.07284097,5.284130065,11.49551551,11.73801182,6.37993517,3.529143448,12.77276292,8.983194994,10.36679952,10.52550818,10.96956885,11.41182729,9.876307186,10.60448946,4.101514782,9.62861384,14.12807243,2.699127404,12.79789894,5.574953739,5.083023911,4.052197104,6.275925084,9.864104636,9.098284636,12.54372877,5.341777287,6.45729383,7.90674571,7.786704737,11.33193743,9.763160245,8.704685814,-0.772422001,11.07596146,9.984366547,2,1
15.96240543,12.51068796,14.28279703,6.70489344,11.31218799,12.34059573,8.907022795,13.51610323,11.34142672,12.99151666,10.65162049,9.21618126,4.101514782,12.2836825,1.603725783,12.55838494,7.786704737,11.74129923,12.69079257,9.659436676,13.49117565,15.33328503,3.411445259,11.40445079,11.44561082,9.889451754,7.794178447,11.55907923,8.535413916,6.825731821,13.99311249,11.51539369,12.01446052,11.27713552,1.32395183,12.47231604,10.93125714,-0.087334401,10.04012337,3.568862966,10.6379936,10.48402373,10.20116818,9.505171122,10.68118465,4.458462581,11.55612829,10.80259774,9.432946586,11.0083492,0.036885131,2.360934839,5.166285767,11.10237538,12.39719825,10.03501029,8.961706076,10.9660636,11.06023651,10.48096651,10.4616878,3.521680263,10.31641213,14.71662334,3.93108443,12.59384233,10.79545,3.652522916,2.609094975,4.784916827,10.60817115,10.56577677,11.94361277,9.347758844,5.526945953,7.779639628,-0.147567636,10.60299585,8.666324599,7.980984979,-0.4730018,7.763099785,10.36055972,2,1
14.40420281,11.9517758,15.28723176,10.56577677,11.7314549,9.967332683,7.899624999,12.68048158,13.14724745,12.20159855,10.27407268,10.47428992,7.32631246,10.47132709,12.16544038,11.26543157,12.56513969,11.96565609,11.61208453,9.485475329,11.61375948,12.21855554,3.061789246,11.16324392,11.01270287,10.58908827,10.18803445,0.689131732,9.90620188,9.325533832,14.56492692,10.78979236,11.98891552,0.198779106,11.87798381,13.41274239,12.80744925,11.05442238,9.943878024,12.23335848,10.72550287,10.59779753,10.82178681,10.06242657,4.197151303,6.782326574,10.55918524,8.912698184,3.718606649,10.88428276,6.649529963,4.522212989,5.711910322,11.36084002,11.44412647,10.49438232,9.100956299,9.119142237,10.79977402,10.4065097,9.371190301,6.470128148,8.340643057,13.0785464,2.476417534,12.3191081,6.980911,4.893111558,6.884825597,8.779994656,10.05307816,10.33897777,12.23656718,5.088205127,8.987325385,5.779878301,-0.234910851,11.53958939,10.69773463,11.70529193,7.844562637,10.16675412,10.08986945,2,1
14.52968236,12.26620842,14.99684346,2.59867767,11.81744981,10.04451985,8.846166973,13.55200482,13.15344228,13.2366849,10.55625465,10.48328564,-2.200524365,12.48123095,13.28645116,12.22898855,13.13467154,12.31452511,11.5952746,11.0595029,9.021795065,7.507268482,11.82529267,0.398429102,0.095563821,10.8989281,10.50758953,10.92218112,9.417174826,11.35559961,14.61607502,10.71198235,12.56904296,11.47723996,11.33557559,12.52503595,10.91658047,-0.172299741,9.892236809,3.220601227,10.78685844,10.25032373,10.72342216,10.08737591,10.42311367,4.923003879,10.83736131,10.52398798,7.998914991,10.91373196,7.571900215,5.416747512,3.86622728,10.14880576,7.479416169,10.71926362,9.765092739,10.27326898,10.68118465,10.74900031,-3.7561685,3.371663101,8.409220989,13.43313486,3.137008357,12.29794325,6.726747179,3.331162242,3.395910052,5.574953739,9.701440359,10.00419722,12.02113032,5.225779921,7.551362655,7.23114536,8.156893418,11.66697842,9.725580221,8.458170371,10.54222341,10.54816748,10.09154708,2,0
15.8539489,12.36163081,14.81852386,6.894707314,12.61590561,12.4275683,6.668712547,12.96049904,0.007417044,12.12982144,-1.861122964,9.814161713,8.818902911,10.25434417,12.11771001,11.23661307,7.755923261,11.2501973,11.50405243,11.16602832,12.23870609,12.89349805,10.31338907,0.240584417,10.59269039,10.65812937,10.5912173,0.751380821,9.787256771,11.19085816,11.78994166,11.80020184,11.56460026,12.16229154,1.070243051,9.93734166,11.1887497,11.2618264,9.845193812,5.130056371,10.52550818,9.993339705,10.9404819,10.3054275,11.98983934,5.400657559,10.37983233,10.58908827,2.275285862,10.85737354,6.143456061,6.009627847,5.045867868,12.60341642,12.61032617,10.39521083,10.38842668,11.83060288,10.6494221,10.37216783,8.06520045,5.75963449,10.23421444,12.4524715,3.568862966,12.46095066,9.801670311,-14.53898234,-1.175901601,4.804291705,8.69127348,9.035689522,12.78374601,10.13305042,6.265842493,5.608763143,7.481970191,11.25382693,10.70773719,9.317319079,6.838684072,13.19772942,10.07113179,2,1
15.41662884,12.53042046,13.49670529,11.49473142,12.99329485,11.40589967,7.980984979,13.12048582,12.36163081,13.03734895,10.27245448,7.827728515,3.939253825,11.40445079,12.56513969,12.14910626,10.84879962,12.23220972,11.05304274,8.963192643,9.579576493,13.02516601,8.64639452,11.35176079,11.29459921,10.97236025,11.65898098,11.6177445,8.70292168,10.44966963,11.82178383,11.43204875,11.21734947,10.16185572,11.38892525,13.57198761,15.46749055,12.65996809,10.07798971,13.60302981,11.61208453,10.31487573,10.78036711,9.615254605,11.56778565,6.440416088,9.911694192,9.47457877,10.94189153,10.93560268,8.775440509,3.460409681,5.911960399,9.807492268,6.203492743,10.72208317,9.919942169,11.037357,10.10941937,0.349023527,10.6545093,3.322205381,10.18064376,13.25443667,3.584566305,11.76797919,7.310255008,3.186274297,5.786968665,6.919978475,10.40346452,9.540513666,12.91955833,10.25750349,6.353388241,8.843093601,7.899624999,11.07236374,9.861218583,12.65425729,-0.191354021,12.95516709,9.872558525,2,1
